Time Since Last Major Merger [Gyr],Number of Major Mergers
13.8,0
11.903627662592406,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,2
13.8,0
13.8,0
13.8,0
11.007950132808553,1
13.8,0
12.55480493374341,1
13.8,0
13.8,0
10.555201291724902,1
13.8,0
13.8,0
10.398502407966777,1
13.8,0
13.8,0
13.8,0
8.841999739310916,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.007950132808553,4
13.8,0
9.155686374365665,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.71425401075792,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
12.031032769266922,1
13.8,0
11.903627662592406,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.317040961531216,1
13.8,0
9.155686374365665,2
13.8,0
13.8,0
13.8,0
10.555201291724902,1
10.555201291724902,1
13.8,0
13.8,0
9.92715903124954,2
13.8,0
11.903627662592406,1
9.92715903124954,3
13.8,0
13.8,0
13.8,0
13.8,0
11.007950132808553,2
13.8,0
13.8,0
13.8,0
13.8,0
12.62066479053492,1
11.766835879457043,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
9.155686374365665,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
10.71425401075792,2
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.903627662592406,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.472636476156389,1
13.8,0
13.8,0
13.8,0
7.790641621123916,1
8.841999739310916,3
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.56482052958491,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
8.841999739310916,1
13.8,0
13.8,0
13.8,0
13.8,0
13.8,0
11.56482052958491,1
13.8,0
13.8,0
13.8,0
11.903627662592406,1
13.8,0
13.8,0
8.841999739310916,2
13.8,0
13.8,0
13.8,0
8.559304846246299,1
13.8,0
13.8,0
13.8,0
9.462953435380172,1
11.317040961531216,1
13.8,0
13.8,0
10.083061130481992,1
13.8,0
13.8,0
